"Word","Changed","score_test"
"maintainability","aaabiiiilmnntty",361
"availability","aaabiiilltvy",289
"Banjarmasin","aaabijmnnrs",225
"Barranquilla","aaabillnqrr",256
"Albania","aaabiln",81
"Albanian","aaabilnn",100
"Albanians","aaabilnns",121
"Bratislava","aaabilrstv",169
"Paramaribo","aaabimoprr",169
"Anabaptist","aaabinpstt",144
"Arabian","aaabinr",64
"Arabians","aaabinrs",81
"Bavarian","aaabinrv",100
"Arabia","aaabir",49
"Bavaria","aaabirv",81
"Kaaba","aaabk",64
"Malabar","aaablmr",100
"parabola","aaablopr",121
"parabolas","aaabloprs",144
"banana","aaabnn",49
"bananas","aaabnns",64
"Rastaban","aaabnrst",81
"Bataan","aaabnt",49
"Surabaya","aaabrsuy",100
"bazaars","aaabrsz",100
"bazaar","aaabrz",81
"capacitance","aaaccceinpt",256
"academician","aaaccdeiimn",225
"academicians","aaaccdeiimns",256
"incapacitated","aaaccdeiinptt",289
"academically","aaaccdeillmy",361
"academical","aaaccdeilm",225
"cavalcades","aaaccdelsv",225
"cavalcade","aaaccdelv",196
"cardiovascular","aaaccdilorrsuv",361
"archaeological","aaacceghilloor",400
"characterization","aaaccehiinorrttz",484
"pharmaceuticals","aaaccehilmprstu",484
"pharmaceutical","aaaccehilmprtu",441
"incapacitates","aaacceiinpstt",289
"incapacitate","aaacceiinptt",256
"acquaintances","aaacceinnqst",289
"acquaintance","aaacceinnqt",256
"carapace","aaaccepr",144
"carapaces","aaacceprs",169
"incapacitating","aaaccgiiinnptt",324
"Aconcagua","aaaccgnou",144
"anarchically","aaacchillnry",361
"catastrophically","aaacchilloprstty",576
"archaically","aaacchillry",324
"acacia","aaacci",81
"acclimatization","aaacciiilmnottz",484
"aristocratically","aaacciillorrstty",484
"autocratically","aaaccillorttuy",400
"sarcastically","aaaccillrssty",361
"acclamation","aaaccilmnot",256
"carcinomata","aaaccimnort",225
"Antarctica","aaaccinrtt",169
"Caucasians","aaaccinssu",169
"Caucasian","aaaccinsu",144
"acacias","aaaccis",100
"Malacca","aaacclm",144
"Caracas","aaaccrs",100
"cataracts","aaaccrstt",144
"cataract","aaaccrtt",121
"camaraderie","aaacdeeimrr",196
"disappearance","aaacdeeinpprs",289
"disappearances","aaacdeeinpprss",324
"Chandrasekhar","aaacdehhknrrs",361
"melodramatically","aaacdeilllmmorty",576
"aerodynamically","aaacdeillmnoryy",484
"Camelopardalis","aaacdeillmoprs",400
"paramedical","aaacdeilmpr",256
"paramedicals","aaacdeilmprs",289
"academia","aaacdeim",121
"mascaraed","aaacdemrs",144
"Castaneda","aaacdenst",121
"Chandragupta","aaacdghnprtu",256
"diagrammatic","aaacdgiimmrt",256
"paradigmatic","aaacdgiimprt",256
"Acadia","aaacdi",64
"Scandinavians","aaacdiinnnssv",256
"Scandinavian","aaacdiinnnsv",225
"Scandinavia","aaacdiinnsv",196
"dramatically","aaacdillmrty",324
"paradoxically","aaacdilloprxy",441
"paradoxical","aaacdiloprx",289
"Canadian","aaacdinn",100
"Canadians","aaacdinns",121
"Arcadian","aaacdinr",100
"Arcadia","aaacdir",81
"macadam","aaacdmm",121
"Canada","aaacdn",64
"anaconda","aaacdnno",100
"anacondas","aaacdnnos",121
"Casandra","aaacdnrs",100
"Cassandra","aaacdnrss",121
"reappearance","aaaceeenpprr",256
"reappearances","aaaceeenpprrs",289
"malfeasance","aaaceeflmns",256
"extravagances","aaaceegnrstvx",324
"extravagance","aaaceegnrtvx",289
"appearance","aaaceenppr",196
"appearances","aaaceenpprs",225
"Caesarean","aaaceenrs",121
"caesarean","aaaceenrs",121
"caesareans","aaaceenrss",144
"catafalques","aaaceflqst",256
"catafalque","aaaceflqt",225
"megalomaniac","aaacegilmmno",289
"megalomaniacs","aaacegilmmnos",324
"carriageway","aaacegirrwy",225
"Machiavellian","aaacehiillmnv",400
"mathematicians","aaacehiimmnstt",361
"mathematician","aaacehiimmntt",324
"mathematically","aaacehillmmtty",484
"apathetically","aaacehillptty",400
"mathematical","aaacehilmmtt",324
"pharmacopoeia","aaacehimooppr",361
"pharmacopoeias","aaacehimoopprs",400
"pharmacopeia","aaacehimoppr",324
"pharmacopeias","aaacehimopprs",361
"Saskatchewan","aaacehknsstw",324
"avalanches","aaacehlnsv",225
"avalanche","aaacehlnv",196
"Achaean","aaacehn",100
"Americanizations","aaaceiiimnnorstz",441
"Americanization","aaaceiiimnnortz",400
"aeronautical","aaaceilnortu",225
"Americana","aaaceimnr",144
"paramecia","aaaceimpr",169
"caesarian","aaaceinrs",121
"caesarians","aaaceinrss",144
"Campanella","aaacellmnp",256
"sacramental","aaacelmnrst",225
"metacarpals","aaacelmprst",256
