"Word","Changed","score_test"
"hysterical","acehilrsty",225
"vehicular","acehilruv",196
"Lachesis","acehilss",144
"athletics","acehilstt",169
"ethical","acehilt",121
"athletic","acehiltt",144
"mechanism","acehimmns",196
"mechanisms","acehimmnss",225
"metamorphic","acehimmoprt",289
"chammies","acehimms",169
"mismatches","acehimmsst",225
"machine","acehimn",121
"Eichmann","acehimnn",144
"monarchies","acehimnors",196
"marchioness","acehimnorss",225
"chairwomen","acehimnorw",225
"macintoshes","acehimnosst",225
"unsympathetic","acehimnpsttuy",361
"chairmen","acehimnr",144
"machinery","acehimnry",196
"machines","acehimns",144
"atmospheric","acehimoprst",256
"thermostatic","acehimorsttt",256
"impeach","acehimp",144
"metaphysics","acehimpssty",289
"sympathetic","acehimpstty",289
"emphatic","acehimpt",169
"Chimera","acehimr",121
"chimera","acehimr",121
"chimeras","acehimrs",144
"Christmases","acehimrssst",225
"rheumatics","acehimrstu",196
"rheumatic","acehimrtu",169
"thematic","acehimtt",144
"Chennai","acehinn",100
"raunchiness","acehinnrssu",196
"Phanerozoic","acehinooprz",289
"orchestrations","acehinoorrsstt",289
"orchestration","acehinoorrstt",256
"chairperson","acehinoprrs",225
"chairpersons","acehinoprrss",256
"anchorites","acehinorst",169
"anchorite","acehinort",144
"anchovies","acehinosv",169
"inchoate","acehinot",121
"paunchier","acehinpru",169
"patchiness","acehinpsst",196
"paunchiest","acehinpstu",196
"Chipewyan","acehinpwy",225
"hurricanes","acehinrrsu",169
"hurricane","acehinrru",144
"raunchier","acehinrru",144
"raunchiest","acehinrstu",169
"chattiness","acehinsstt",169
"chanties","acehinst",121
"hesitancy","acehinsty",169
"authentic","acehinttu",144
"Hippocrates","acehiopprst",256
"spaceship","acehippss",196
"spaceships","acehippsss",225
"Chippewa","acehippw",196
"seraphic","acehiprs",144
"patchier","acehiprt",144
"pastiches","acehipsst",169
"pastiche","acehipst",144
"patchiest","acehipstt",169
"whitecaps","acehipstw",196
"hepatic","acehipt",121
"pathetic","acehiptt",144
"whitecap","acehiptw",169
"Archie","acehir",81
"achier","acehir",81
"charier","acehirr",100
"starchier","acehirrst",144
"cashier","acehirs",100
"cashiers","acehirss",121
"starchiest","acehirsstt",169
"wristwatches","acehirssttww",289
"Eucharists","acehirsstu",169
"chariest","acehirst",121
"Eucharist","acehirstu",144
"archives","acehirsv",144
"chattier","acehirtt",121
"archive","acehirv",121
"chaise","acehis",81
"chaises","acehiss",100
"chastises","acehissst",144
"chastise","acehisst",121
"achiest","acehist",100
"chattiest","acehisttt",144
"hackle","acehkl",144
"Shackleton","acehklnost",256
"hackles","acehkls",169
"shackle","acehkls",169
"shackles","acehklss",196
"Stockhausen","acehknosstu",256
"hackneys","acehknsy",196
"hackney","acehkny",169
"shortcakes","acehkorsst",225
"shortcake","acehkorst",196
"hotcakes","acehkost",169
"hotcake","acehkot",144
"hacker","acehkr",121
"hackers","acehkrs",144
"Leach","acehl",81
"leach","acehl",81
"melancholy","acehllmnoy",289
"sepulchral","acehllprsu",256
"shellac","acehlls",144
"shellacs","acehllss",169
"commonwealths","acehlmmnoostw",400
"Commonwealth","acehlmmnootw",361
"commonwealth","acehlmmnootw",361
"schoolmasters","acehlmoorssst",324
"schoolmaster","acehlmoorsst",289
"schoolmates","acehlmoosst",256
"schoolmate","acehlmoost",225
"lachrymose","acehlmorsy",256
"matchless","acehlmsst",196
"alchemy","acehlmy",169
"Chanel","acehln",100
"channel","acehlnn",121
"channels","acehlnns",144
"Sophoclean","acehlnoops",225
"Charlottetown","acehlnoortttw",324
"Charlestons","acehlnorsst",225
"Charleston","acehlnorst",196
"launchers","acehlnrsu",169
"launcher","acehlnru",144
"unlatches","acehlnstu",169
"launches","acehlnsu",144
"epochal","acehlop",144
"showplaces","acehlopssw",256
"showplace","acehlopsw",225
"cholera","acehlor",121
"chorale","acehlor",121
"orchestral","acehlorrst",196
"chorales","acehlors",144
"Charlotte","acehlortt",169
"chapel","acehlp",121
"chapels","acehlps",144
"chaplets","acehlpst",169
"chaplet","acehlpt",144
"cheaply","acehlpy",169
"Rachel","acehlr",100
"Charles","acehlrs",121
"larches","acehlrs",121
"Charley","acehlry",144
"clashes","acehlss",121
"satchels","acehlsst",144
"Aeschylus","acehlssuy",196
"chalets","acehlst",121
"latches","acehlst",121
"satchel","acehlst",121
"chattels","acehlstt",144
"chastely","acehlsty",169
"chalet","acehlt",100
"chattel","acehltt",121
"anchorwomen","acehmnnoorw",256
"anchormen","acehmnnor",169
"Montrachet","acehmnortt",196
"charwomen","acehmnorw",196
"parchments","acehmnprst",225
"parchment","acehmnprt",196
"merchants","acehmnrst",169
"merchant","acehmnrt",144
"chessman","acehmnss",144
"yachtsmen","acehmnsty",196
"watchmen","acehmntw",169
"tracheotomy","acehmoortty",256
"moustaches","acehmosstu",196
"moustache","acehmostu",169
"charmer","acehmrr",121
"marcher","acehmrr",121
"charmers","acehmrrs",144
"marchers","acehmrrs",144
"Marches","acehmrs",121
"marches","acehmrs",121
"rematch","acehmrt",121
"sachem","acehms",100
"schema","acehms",100
"sachems","acehmss",121
"mustaches","acehmsstu",169
"matches","acehmst",121
"mustache","acehmstu",144
"anchorperson","acehnnooprrs",256
"anchorpersons","acehnnooprrss",289
"penchants","acehnnpst",169
"penchant","acehnnpt",144
"trenchant","acehnnrtt",144
"enchants","acehnnst",121
"enchant","acehnnt",100
"chaperon","acehnopr",144
"chaperons","acehnoprs",169
"cenotaphs","acehnopst",169
"cenotaph","acehnopt",144
"Chatterton","acehnorttt",169
"Acheson","acehnos",100
"paunches","acehnpsu",144
"rancher","acehnrr",100
"ranchers","acehnrrs",121
"ranches","acehnrs",100
"archness","acehnrss",121
"schnauzers","acehnrssuz",225
"chanters","acehnrst",121
"stancher","acehnrst",121
"stauncher","acehnrstu",144
"Schnauzer","acehnrsuz",196
"schnauzer","acehnrsuz",196
"chanter","acehnrt",100
"chastens","acehnsst",121
"snatches","acehnsst",121
"stanches","acehnsst",121
"stanchest","acehnsstt",144
"staunchest","acehnssttu",169
"staunches","acehnsstu",144
"chasten","acehnst",100
"chanteys","acehnsty",144
"Szechuan","acehnsuz",169
"Sanchez","acehnsz",144
"chantey","acehnty",121
"Natchez","acehntz",144
"Chaney","acehny",100
"housecoats","acehoosstu",169
"housecoat","acehoostu",144
"Pechora","acehopr",121
"poacher","acehopr",121
"reproach","acehoprr",144
"poachers","acehoprs",144
"poaches","acehops",121
"stopwatches","acehopssttw",256
"Horace","acehor",81
"orchestras","acehorrsst",169
"orchestra","acehorrst",144
"roaches","acehors",100
"thoraces","acehorst",121
"watchtowers","acehorsttww",256
"watchtower","acehorttww",225
"outreach","acehortu",121
"showcases","acehosssw",169
"showcase","acehossw",144
"cheap","acehp",81
"peach","acehp",81
"preach","acehpr",100
"purchasers","acehprrssu",196
"purchaser","acehprrsu",169
"Petrarch","acehprrt",144
"parches","acehprs",121
"purchases","acehprssu",169
"chapters","acehprst",144
"purchase","acehprsu",144
"chapter","acehprt",121
"Pratchett","acehprttt",169
"preachy","acehpry",144
"patches","acehpst",121
"Quechua","acehqu",121
"reach","acehr",64
"archer","acehrr",81
"archers","acehrrs",100
"Chartres","acehrrst",121
"charters","acehrrst",121
"charter","acehrrt",100
"archery","acehrry",121
"arches","acehrs",81
"chaser","acehrs",81
"search","acehrs",81
"chasers","acehrss",100
"crashes","acehrss",100
"starches","acehrsst",121
"archest","acehrst",100
"chaster","acehrst",100
"chatters","acehrstt",121
"ratchets","acehrstt",121
"watchers","acehrstw",144
"Cather","acehrt",81
"Thrace","acehrt",81
"chatter","acehrtt",100
"ratchet","acehrtt",100
"watcher","acehrtw",121
"Zachery","acehryz",169
"Chase","acehs",64
"aches","acehs",64
"chase","acehs",64
"cashes","acehss",81
"chases","acehss",81
"sachets","acehsst",100
"chastest","acehsstt",121
"swatches","acehsstw",144
"cashews","acehssw",121
"Scheat","acehst",81
"chaste","acehst",81
"cheats","acehst",81
"sachet","acehst",81
"watches","acehstw",121
"cashew","acehsw",100
"cheat","aceht",64
"teach","aceht",64
"Chavez","acehvz",144
"municipalities","aceiiiilmnpstu",361
"imperialistic","aceiiiilmprst",324
"principalities","aceiiiilnpprst",361
"pessimistically","aceiiillmpsssty",484
"multiplicative","aceiiillmpttuv",441
"relativistic","aceiiilrsttv",256
"italicizes","aceiiilstz",225
"italicize","aceiiiltz",196
"recriminations","aceiiimnnorrst",289
"recrimination","aceiiimnnorrt",256
"incriminates","aceiiimnnrst",225
"incriminate","aceiiimnnrt",196
"intimacies","aceiiimnst",169
"incineration","aceiiinnnort",196
"precipitations","aceiiinopprstt",324
"precipitation","aceiiinopprtt",289
"captivities","aceiiipsttv",225
"acquisitive","aceiiiqstv",225
"activities","aceiiisttv",169
"kinematics","aceiikmnst",225
"kinematic","aceiikmnt",196
"panickier","aceiiknpr",196
"panickiest","aceiiknpst",225
"airsickness","aceiiknrsss",225
"elliptically","aceiillllpty",400
"elliptical","aceiilllpt",256
"neocolonialism","aceiillmnnooos",361
"empirically","aceiillmpry",324
"seismically","aceiillmssy",289
"extrinsically","aceiillnrstxy",400
"scintillates","aceiillnsstt",256
"scintillate","aceiillnstt",225
"localities","aceiillost",196
"illiteracy","aceiillrty",225
"recompilation","aceiilmnooprt",324
"sectionalism","aceiilmnosst",256
"semitropical","aceiilmoprst",289
"empirical","aceiilmpr",196
"implicates","aceiilmpst",225
"implicate","aceiilmpt",196
"Mexicali","aceiilmx",196
"conventionality","aceiilnnnoottvy",400
"replications","aceiilnoprst",256
"replication","aceiilnoprt",225
"explications","aceiilnopstx",324
"Capitoline","aceiilnopt",196
"explication","aceiilnoptx",289
"equinoctial","aceiilnoqt",225
"lasciviousness","aceiilnossssuv",324
"Plasticine","aceiilnpst",196
"clarinetists","aceiilnrsstt",225
"clarinettists","aceiilnrssttt",256
"clarinetist","aceiilnrstt",196
"clarinettist","aceiilnrsttt",225
"unrealistic","aceiilnrstu",196
"intricately","aceiilnrtty",225
"inelastic","aceiilnst",144
"Catiline","aceiilnt",121
"socialites","aceiilosst",169
"socializes","aceiilossz",225
"socialite","aceiilost",144
"socialize","aceiilosz",196
"participles","aceiilpprst",256
"participle","aceiilpprt",225
"triplicates","aceiilprstt",225
"triplicate","aceiilprtt",196
"peculiarity","aceiilprtuy",256
"specialists","aceiilpssst",225
"specialist","aceiilpsst",196
"surrealistic","aceiilrrsstu",225
"realistic","aceiilrst",144
"silicates","aceiilsst",144
"silicate","aceiilst",121
"elasticity","aceiilstty",196
"Leticia","aceiilt",100
"commiserations","aceiimmnoorsst",324
"commiseration","aceiimmnoorst",289
"commissaries","aceiimmorsss",256
"Micronesian","aceiimnnors",196
"computerization","aceiimnooprttuz",441
"imprecations","aceiimnoprst",256
"imprecation","aceiimnoprt",225
"Micronesia","aceiimnors",169
"creationism","aceiimnorst",196
"romanticizes","aceiimnorstz",289
"metrication","aceiimnortt",196
"romanticize","aceiimnortz",256
"Messianic","aceiimnss",144
"miscarries","aceiimrrss",169
"armistices","aceiimrsst",169
"armistice","aceiimrst",144
"renunciations","aceiinnnorstu",225
"renunciation","aceiinnnortu",196
"enunciation","aceiinnnotu",169
"conservationists","aceiinnoorsssttv",361
"conservationist","aceiinnoorssttv",324
"incinerators","aceiinnorrst",196
"incinerator","aceiinnorrt",169
"interactions","aceiinnorstt",196
"interaction","aceiinnortt",169
"equivocations","aceiinooqstv",289
"equivocation","aceiinooqtv",256
"excoriations","aceiinoorstx",256
"excoriation","aceiinoortx",225
"practitioners","aceiinoprrstt",256
"practitioner","aceiinoprrtt",225
"pertinacious","aceiinoprstu",225
"auspiciousness","aceiinopssssuu",289
"contrariwise","aceiinorrstw",225
"resuscitation","aceiinorssttu",225
"recitations","aceiinorstt",169
"recitation","aceiinortt",144
"extrication","aceiinorttx",225
"vivaciousness","aceiinosssuvv",289
"intoxicates","aceiinosttx",225
"excitation","aceiinottx",196
"intoxicate","aceiinottx",196
"precipitants","aceiinpprstt",256
"precipitant","aceiinpprtt",225
"pertinacity","aceiinprtty",225
"antiseptics","aceiinpsstt",196
"antiseptic","aceiinpstt",169
"intricate","aceiinrtt",121
"inactive","aceiintv",121
"atrocities","aceiiorstt",144
"criteria","aceiirrt",100
"sacristies","aceiirssst",144
"creativity","aceiirttvy",196
"cavities","aceiistv",121
"Jackie","aceijk",144
"jackknives","aceijkknsv",361
"Jacksonville","aceijkllnosv",441
"majestic","aceijmst",169
"Janice","aceijn",100
"Jessica","aceijss",121
"Kentuckians","aceikknnstu",289
"Kentuckian","aceikknntu",256
"skeptically","aceikllpsty",361
"latticeworks","aceiklorsttw",324
"latticework","aceiklorttw",289
"skeptical","aceiklpst",225
"Merrimack","aceikmmrr",225
"nickname","aceikmnn",169
"nicknames","aceikmnns",196
"mavericks","aceikmrsv",225
"maverick","aceikmrv",196
"crankiness","aceiknnrss",196
"crankier","aceiknrr",144
"crankiest","aceiknrst",169
"tackiness","aceiknsst",169
"wackiness","aceiknssw",196
"Katowice","aceikotw",169
"pickaxes","aceikpsx",225
"pickaxe","aceikpx",196
"Ericka","aceikr",100
"tackier","aceikrt",121
"wackier","aceikrw",144
"seasick","aceikss",121
"tackiest","aceikstt",144
"wackiest","aceikstw",169
"Alice","aceil",64
"Celia","aceil",64
"Callie","aceill",100
"Camille","aceillm",144
"symmetrically","aceillmmrstyy",441
"Cromwellian","aceillmnorw",289
"numerically","aceillmnruy",289
"miscellany","aceillmnsy",256
"polemical","aceillmop",225
"millrace","aceillmr",169
"millraces","aceillmrs",196
"metrically","aceillmrty",256
"metallic","aceillmt",169
"cumulatively","aceillmtuuvy",361
"unconventionally","aceillnnnnootuvy",484
"conventionally","aceillnnnootvy",400
"nonsensically","aceillnnnossy",324
"constellations","aceillnnoosstt",324
"constellation","aceillnnoostt",289
"controversially","aceillnoorrstvy",441
"unequivocally","aceillnoquvy",400
"citronella","aceillnort",196
"neurotically","aceillnortuy",289
"crystalline","aceillnrsty",256
"corollaries","aceilloorrs",225
"Calliope","aceillop",169
"calliope","aceillop",169
"calliopes","aceillops",196
"pillowcases","aceillopssw",289
"pillowcase","aceillopsw",256
"poetically","aceillopty",256
"equivocally","aceilloqvy",324
"erotically","aceillorty",225
"oscillates","aceillosst",196
"oscillate","aceillost",169
"localizes","aceillosz",225
"exotically","aceillotxy",289
"localize","aceilloz",196
"calliper","aceillpr",169
"callipers","aceillprs",196
"peculiarly","aceillpruy",256
"allspice","aceillps",169
"specially","aceillpsy",225
"crystallizes","aceillrsstyz",361
"crystallize","aceillrstyz",324
"lucratively","aceillrtuvy",289
"vertically","aceillrtvy",256
"lexical","aceillx",169
"malice","aceilm",100
"uncomplimentary","aceilmmnnoprtuy",484
"complimentary","aceilmmnoprty",400
"clamminess","aceilmmnss",225
"camomile","aceilmmo",169
"camomiles","aceilmmos",196
"clammier","aceilmmr",169
"symmetrical","aceilmmrsty",289
"clammiest","aceilmmst",196
"Metamucil","aceilmmtu",196
"contemplation","aceilmnnooptt",324
"policewoman","aceilmnoopw",289
"policeman","aceilmnop",196
"complainer","aceilmnopr",225
"complainers","aceilmnoprs",256
"Marcelino","aceilmnor",169
"curtailments","aceilmnrsttu",256
"curtailment","aceilmnrttu",225
"numerical","aceilmnru",169
"lawrencium","aceilmnruw",225
"masculines","aceilmnssu",196
"culminates","aceilmnstu",196
"calumnies","aceilmnsu",169
"masculine","aceilmnsu",169
"culminate","aceilmntu",169
"Ptolemaic","aceilmopt",196
"camisole","aceilmos",144
"camisoles","aceilmoss",169
"misplace","aceilmps",169
"misplaces","aceilmpss",196
"miracle","aceilmr",121
"reclaim","aceilmr",121
"mercurial","aceilmrru",169
"miracles","aceilmrs",144
"reclaims","aceilmrs",144
"secularism","aceilmrssu",196
"metrical","aceilmrt",144
"musicales","aceilmssu",169
"clematis","aceilmst",144
"climates","aceilmst",144
"musicale","aceilmsu",144
"climaxes","aceilmsx",196
"exclaims","aceilmsx",196
"climate","aceilmt",121
"cumulative","aceilmtuuv",225
"exclaim","aceilmx",169
"Celina","aceiln",81
"unconventional","aceilnnnnootuv",324
"Constantinople","aceilnnnoopstt",324
"conventional","aceilnnnootv",256
"nonsensical","aceilnnnoss",196
"continentals","aceilnnnostt",225
"Continental","aceilnnnott",196
"continental","aceilnnnott",196
"Napoleonic","aceilnnoop",196
"uncontroversial","aceilnnoorrstuv",361
"pinnacle","aceilnnp",144
"pinnacles","aceilnnps",169
"uncertainly","aceilnnrtuy",225
"incessantly","aceilnnssty",225
"incorporeal","aceilnooprr",225
"processional","aceilnooprss",256
"processionals","aceilnooprsss",289
"percolation","aceilnooprt",225
"correlations","aceilnoorrst",225
"controversial","aceilnoorrstv",289
"correlation","aceilnoorrt",196
"relocation","aceilnoort",169
"porcelain","aceilnopr",169
"speculations","aceilnopsstu",256
"speculation","aceilnopstu",225
"unequivocal","aceilnoquv",256
"Caroline","aceilnor",121
"Cornelia","aceilnor",121
"ulceration","aceilnortu",169
"coastlines","aceilnosst",169
"sectionals","aceilnosst",169
"coastline","aceilnost",144
"sectional","aceilnost",144
"consultative","aceilnosttuv",256
"inoculates","aceilnostu",169
"tenaciously","aceilnostuy",225
"inoculate","aceilnotu",144
"pelican","aceilnp",121
"pelicans","aceilnps",144
"inculpates","aceilnpstu",196
"inculpate","aceilnptu",169
"ventricular","aceilnrrtuv",225
"clarinets","aceilnrst",144
"clarinet","aceilnrt",121
"certainly","aceilnrty",169
"luxuriance","aceilnruux",225
"classiness","aceilnssss",169
"lunacies","aceilnsu",121
"vulcanizes","aceilnsuvz",256
"vulcanize","aceilnuvz",225
"provocatively","aceilooprtvvy",400
"Paleozoic","aceiloopz",225
"Episcopal","aceilopps",196
"episcopal","aceilopps",196
"precariously","aceiloprrsuy",289
"poetical","aceilopt",144
"equivocal","aceiloqv",196
"calorie","aceilor",100
"calories","aceilors",121
"societal","aceilost",121
"vocalizes","aceilosvz",225
"vocalize","aceilovz",196
"plaice","aceilp",100
"supplicates","aceilppsstu",256
"supplicate","aceilppstu",225
"caliper","aceilpr",121
"replica","aceilpr",121
"calipers","aceilprs",144
"replicas","aceilprs",144
"particles","aceilprst",169
"particle","aceilprt",144
"peculiar","aceilpru",144
"Percival","aceilprv",169
"special","aceilps",121
"specials","aceilpss",144
"specialty","aceilpsty",196
"eucalypti","aceilptuy",196
"aquiculture","aceilqrtuu",225
"Claire","aceilr",81
"lacier","aceilr",81
"scalier","aceilrs",100
"classier","aceilrss",121
"crystalizes","aceilrsstyz",289
"articles","aceilrst",121
"recitals","aceilrst",121
"verticals","aceilrstv",169
"crystalize","aceilrstyz",256
"auricles","aceilrsu",121
"visceral","aceilrsv",144
"article","aceilrt",100
"recital","aceilrt",100
"Lucretia","aceilrtu",121
"lucrative","aceilrtuv",169
"vertical","aceilrtv",144
"literacy","aceilrty",144
"auricle","aceilru",100
"clayier","aceilry",121
"classiest","aceilssst",144
"Alcestis","aceilsst",121
"elastics","aceilsst",121
"scaliest","aceilsst",121
"elastic","aceilst",100
"laciest","aceilst",100
"lattices","aceilstt",121
"cultivates","aceilsttuv",196
"Clausewitz","aceilstuwz",256
"clayiest","aceilsty",144
"lattice","aceiltt",100
"tactile","aceiltt",100
"cultivate","aceilttuv",169
"actively","aceiltvy",169
"lexica","aceilx",121
"commemorations","aceimmmnooorst",361
"commemoration","aceimmmnooort",324
"crematoriums","aceimmorrstu",256
"crematorium","aceimmorrtu",225
"commutative","aceimmottuv",256
"asymmetric","aceimmrsty",225
"anemic","aceimn",81
"cinema","aceimn",81
"containment","aceimnnnott",196
"compensations","aceimnnoopsst",289
"compensation","aceimnnoopst",256
"onomatopoeic","aceimnoooopt",256
"importance","aceimnoprt",196
"companies","aceimnops",169
"conservatism","aceimnorsstv",256
"cremations","aceimnorst",169
"cremation","aceimnort",144
"Aureomycin","aceimnoruy",196
"pneumatic","aceimnptu",169
"Carmine","aceimnr",100
"Crimean","aceimnr",100
"carmine","aceimnr",100
"carmines","aceimnrs",121
"miscreants","aceimnrsst",169
"miscreant","aceimnrst",144
"manicures","aceimnrsu",144
"manicure","aceimnru",121
"cinemas","aceimns",100
"semantics","aceimnsst",144
"semantic","aceimnst",121
"Mexicans","aceimnsx",169
"Mexican","aceimnx",144
"microwaves","aceimorsvw",225
"microwave","aceimorvw",196
"campier","aceimpr",121
"supremacists","aceimprssstu",256
"supremacist","aceimprsstu",225
"escapism","aceimpss",144
"scampies","aceimpss",144
"campsites","aceimpsst",169
"campiest","aceimpst",144
"campsite","aceimpst",144
"Crimea","aceimr",81
"Marcie","aceimr",81
"Mercia","aceimr",81
"matrices","aceimrst",121
"Maurice","aceimru",100
"systematic","aceimsstty",196
"canine","aceinn",64
"noncooperation","aceinnnooooprt",289
"consternation","aceinnnoorstt",225
"contraventions","aceinnnoorsttv",289
"contravention","aceinnnoorttv",256
"Constantine","aceinnnostt",169
"uncannier","aceinnnru",121
"canniness","aceinnnss",121
"uncanniest","aceinnnstu",144
"conversations","aceinnoorsstv",256
"conservation","aceinnoorstv",225
"conversation","aceinnoorstv",225
"connotative","aceinnoottv",196
"Novocaine","aceinnoov",144
"contrariness","aceinnorrsst",196
"encrustations","aceinnorssttu",225
"containers","aceinnorst",144
"encrustation","aceinnorsttu",196
"container","aceinnort",121
"ascension","aceinnoss",121
"ascensions","aceinnosss",144
"canonizes","aceinnosz",169
"canonize","aceinnoz",144
"cannier","aceinnr",81
"crannies","aceinnrs",100
"insurances","aceinnrssu",144
"transiency","aceinnrsty",169
"insurance","aceinnrsu",121
"uncertainty","aceinnrttuy",196
"uncertain","aceinnrtu",121
"canines","aceinns",81
"scantiness","aceinnssst",144
"incessant","aceinnsst",121
"instances","aceinnsst",121
"nuisances","aceinnssu",121
"ancients","aceinnst",100
"canniest","aceinnst",100
"instance","aceinnst",100
"nuisance","aceinnsu",100
"ancient","aceinnt",81
"cooperation","aceinoooprt",196
"incorporates","aceinooprrst",225
"incorporate","aceinooprrt",196
"procreation","aceinooprrt",196
"coronaries","aceinoorrs",144
"atrociousness","aceinoorssstu",225
"revocations","aceinoorstv",196
"revocation","aceinoortv",169
"evocations","aceinoostv",169
"evocation","aceinootv",144
"proscenia","aceinoprs",144
"precautions","aceinoprstu",196
"precaution","aceinoprtu",169
"canopies","aceinops",121
"spaciousness","aceinopssssu",225
"constipates","aceinopsstt",196
"constipate","aceinopstt",169
"contraries","aceinorrst",144
"retractions","aceinorrstt",169
"carnivores","aceinorrsv",169
"retraction","aceinorrtt",144
"carnivore","aceinorrv",144
"scenario","aceinors",100
"scenarios","aceinorss",121
"creations","aceinorst",121
"reactions","aceinorst",121
"extractions","aceinorsttx",225
"anorexics","aceinorsx",169
"Creation","aceinort",100
"creation","aceinort",100
"reaction","aceinort",100
"extraction","aceinorttx",196
"Cointreau","aceinortu",121
"Veronica","aceinorv",121
"anorexic","aceinorx",144
"cessations","aceinossst",144
"cautiousness","aceinossstuu",196
"canoeists","aceinosst",121
"cessation","aceinosst",121
"aconites","aceinost",100
"canoeist","aceinost",100
"tenacious","aceinostu",121
"aconite","aceinot",81
"pecuniary","aceinpruy",169
"pittances","aceinpstt",144
"pittance","aceinptt",121
"picayune","aceinpuy",144
"Racine","aceinr",64
"scrawnier","aceinrrsw",144
"arsenic","aceinrs",81
"raciness","aceinrss",100
"narcissuses","aceinrssssu",169
"canisters","aceinrsst",121
"scrawniest","aceinrsstw",169
"craziness","aceinrssz",169
"canister","aceinrst",100
"scantier","aceinrst",100
"interacts","aceinrstt",121
"certain","aceinrt",81
"interact","aceinrtt",100
"certainty","aceinrtty",144
"casein","aceins",64
"sauciness","aceinsssu",121
"scanties","aceinsst",100
"cattiness","aceinsstt",121
"scantiest","aceinsstt",121
"tacitness","aceinsstt",121
"issuance","aceinssu",100
"tenacity","aceintty",121
"inexact","aceintx",121
"provocative","aceiooprtvv",256
"overcautious","aceioorstuuv",225
"triceratops","aceioprrstt",196
"precarious","aceioprrsu",169
"operatic","aceioprt",121
"proactive","aceioprtv",169
"petticoats","aceiopsttt",169
"petticoat","aceiopttt",144
"resuscitators","aceiorrsssttu",225
"resuscitator","aceiorrssttu",196
"ostracizes","aceiorsstz",196
"ostracize","aceiorstz",169
"veracious","aceiorsuv",144
"varicose","aceiorsv",121
"erotica","aceiort",81
"vocatives","aceiostvv",169
"vocative","aceiotvv",144
"crappier","aceipprr",144
"scrappier","aceipprrs",169
"scrappiest","aceipprsst",196
"crappiest","aceipprst",169
"spacier","aceiprs",100
"practises","aceiprsst",144
"practise","aceiprst",121
"Patrice","aceiprt",100
"apices","aceips",81
"escapists","aceipssst",144
"spacesuits","aceipssstu",169
"escapist","aceipsst",121
"spaciest","aceipsst",121
"spacesuit","aceipsstu",144
"auspices","aceipssu",121
"capsizes","aceipssz",169
"aseptic","aceipst",100
"captives","aceipstv",144
"auspice","aceipsu",100
"capsize","aceipsz",144
"captive","aceiptv",121
"acquire","aceiqr",100
"acquires","aceiqrs",121
"Erica","aceir",49
"Carrie","aceirr",64
"racier","aceirr",64
"Carrier","aceirrr",81
"carrier","aceirrr",81
"carriers","aceirrrs",100
"carries","aceirrs",81
"scarier","aceirrs",81
"Cartier","aceirrt",81
"erratic","aceirrt",81
"crazier","aceirrz",121
"caries","aceirs",64
"Castries","aceirsst",100
"scariest","aceirsst",100
"raciest","aceirst",81
"curatives","aceirstuv",144
"craziest","aceirstz",144
"saucier","aceirsu",81
"viscera","aceirsv",100
"crazies","aceirsz",121
"Tracie","aceirt",64
"cattier","aceirtt",81
"curative","aceirtuv",121
"veracity","aceirtvy",144
"Cassie","aceiss",64
"suitcases","aceissstu",121
"sauciest","aceisstu",100
"suitcase","aceisstu",100
"Stacie","aceist",64
"cattiest","aceisttt",100
"actives","aceistv",100
"active","aceitv",81
"vivace","aceivv",100
"skyjackers","acejkkrssy",361
"skyjacker","acejkkrsy",324
"jackets","acejkst",169
"jacket","acejkt",144
"Jacquelyn","acejlnqy",256
"cajole","acejlo",121
"cajolery","acejlory",196
"cajoles","acejlos",144
"Joycean","acejnoy",144
"trajectory","acejorrtty",225
"Jacques","acejqs",144
"cake","acek",64
"smokestacks","acekkmossst",324
"smokestack","acekkmosst",289
"muckrakers","acekkmrrsu",289
"muckraker","acekkmrru",256
"muckrakes","acekkmrsu",256
"muckrake","acekkmru",225
"knacker","acekknr",169
"lackluster","acekllrstu",256
"Lockean","aceklno",144
"slacken","aceklns",144
"slackens","aceklnss",169
"slackness","aceklnsss",196
"workplaces","acekloprsw",289
"workplace","acekloprw",256
"Spackle","aceklps",169
"plackets","aceklpst",196
"placket","aceklpt",169
"Clarke","aceklr",121
"slacker","aceklrs",144
"slackers","aceklrss",169
"tacklers","aceklrst",169
"tackler","aceklrt",144
"slackest","aceklsst",169
"tackles","aceklst",144
"lackeys","aceklsy",169
"tackle","aceklt",121
"lackey","acekly",144
"smacker","acekmrs",144
"smackers","acekmrss",169
"countersank","aceknnorstu",225
"Nantucket","aceknnttu",169
"cankerous","aceknorsu",169
"canker","aceknr",100
"cankers","aceknrs",121
"casework","acekorsw",169
"Kerouac","acekoru",121
"Capek","acekp",100
"packer","acekpr",121
"skyscrapers","acekprrsssy",289
"skyscraper","acekprrssy",256
"packers","acekprs",144
"sapsuckers","acekprsssu",225
"sapsucker","acekprssu",196
"packets","acekpst",144
"packet","acekpt",121
"quackery","acekqry",196
"creak","acekr",81
"trackers","acekrrst",144
"tracker","acekrrt",121
"creaks","acekrs",100
"rackets","acekrst",121
"awestruck","acekrstuw",196
"racket","acekrt",100
"creaky","acekry",121
"cakes","aceks",81
"caskets","aceksst",121
"casket","acekst",100
"Alec","acel",49
"lace","acel",49
"cellulars","acelllrsu",196
"cellular","acelllru",169
"molecular","acellmoru",196
"uncleanly","acellnnuy",196
"callousness","acellnosssu",225
